Ian	Gibson	Norwich North	£19,222	£0	£18,234	£67,404	£4,429	£63	£1,056	£1,888	£0
Sandra	Gidley	Romsey	£19,722	£0	£18,191	£61,464	£7,408	£664	£1,492	£1,936	£0
Michelle	Gildernew	Fermanagh & South Tyrone	£16,875	£0	£18,051	£59,932	£2,610	£858	£301	£1,700	£0
Cheryl	Gillan	Chesham & Amersham	£19,722	£0	£18,210	£65,596	£4,975	£7	£1,644	£1,953	£0
Linda	Gilroy	Plymouth, Sutton	£15,090	£0	£18,096	£67,559	£9,327	£1,304	£444	£1,791	£0
Roger	Godsiff	Birmingham, Sparkbrook & Small Heath	£19,722	£0	£18,216	£65,596	£13,056	£899	£732	£1,979	£0
Paul	Goggins	Wythenshawe & Sale East	£19,722	£0	£18,231	£61,974	£18,092	£1,509	£1,067	£1,517	£0
Paul	Goodman	Wycombe	£17,422	£0	£12,872	£63,964	£3,321	£0	£1,030	£1,460	£0
James	Gray	North Wiltshire	£19,722	£0	£17,799	£67,404	£12,158	£544	£1,573	£1,974	£0
Chris	Grayling	Epsom & Ewell	£19,151	£0	£18,234	£65,581	£4,930	£0	£1,107	£1,903	£9,049
Damian	Green	Ashford	£19,722	£0	£18,200	£66,446	£7,135	£0	£275	£1,730	£0
Matthew	Green	Ludlow	£19,722	£0	£18,234	£68,829	£11,383	£564	£1,113	£1,832	£0
John	Greenway	Ryedale	£19,322	£0	£18,234	£69,010	£15,215	£222	£618	£1,875	£150
Dominic	Grieve	Beaconsfield	£16,205	£0	£17,641	£69,212	£3,107	£0	£433	£1,476	£0
Jane	Griffiths	Reading East	£19,722	£0	£18,215	£65,096	£4,488	£368	£4,719	£1,709	£0
Nigel	Griffiths	Edinburgh South	£19,722	£1,527	£18,234	£64,026	£13,592	£716	£1,671	£2,034	£0
Win	Griffiths	Bridgend	£16,855	£0	£14,074	£63,988	£8,909	£538	£609	£1,562	£0
John	Grogan	Selby	£19,722	£0	£18,210	£69,212	£24,490	£868	£1,361	£1,941	£0
John	Gummer	Suffolk Coastal	£0	£0	£13,883	£69,212	£5,786	£259	£728	£1,706	£0
William	Hague	Richmond (Yorks)	£19,722	£0	£17,431	£69,212	£8,008	£646	£588	£1,909	£0
Peter	Hain	Neath	£19,722	£1,527	£18,233	£69,212	£10,191	£1,366	£3,254	£1,966	£0
Mike	Hall	Weaver Vale	£19,622	£0	£18,080	£65,596	£14,627	£2,494	£771	£1,884	£0
Patrick	Hall	Bedford	£18,354	£0	£17,795	£65,596	£1,141	£114	£897	£2,000	£0
David	Hamilton	Midlothian	£19,600	£0	£17,169	£48,572	£18,601	£2,077	£446	£1,984	£0
Fabian	Hamilton	Leeds North East	£19,722	£0	£18,219	£61,910	£10,668	£1,587	£1,917	£1,872	£0
Philip	Hammond	Runnymede & Weybridge	£19,570	£0	£11,778	£60,805	£3,591	£65	£1,324	£1,974	£0
Mike	Hancock	Portsmouth South	£13,310	£0	£18,234	£65,263	£9,933	£0	£1,179	£1,920	£0
David	Hanson	Delyn	£15,922	£0	£18,194	£63,533	£16,492	£705	£1,823	£2,041	£0
Harriet	Harman	Camberwell & Peckham	£0	£1,527	£18,205	£72,310	£0	£0	£1,539	£1,983	£0
